,money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometres,currency
0,10350000,Toyota,Corolla Cross,2022,Plateado,Nafta,5.0,Automática,Desconocido,SUV,500,pesos
1,10850000,Jeep,Compass,2022,Blanco,Nafta,5.0,Automática,2.4,SUV,500,pesos
2,35500,Jeep,Compass,2022,Gris oscuro,Nafta,5.0,Automática,2.4,SUV,500,dólares
3,19000,Citroën,C4 Cactus,2022,Gris oscuro,Nafta,5.0,Automática,Desconocido,SUV,550,dólares
4,5800000,Toyota,Corolla,2019,Gris,Nafta,4.0,Manual,1.8,Sedán,9000,pesos
5,34500,Jeep,Compass,2022,Negro,Nafta,5.0,Automática,1.3,SUV,10500,dólares
6,25000,Kia,Sorento,2014,Negro,Diésel,5.0,Automática,2.2,SUV,156000,dólares
7,12300,Mercedes-Benz,Clase C,2008,Plateado,Nafta,4.0,Automática,1.8,Sedán,174000,dólares
8,35500,BMW,220,2016,Blanco,Nafta,2.0,Automática,TURBO,Coupé,66000,dólares
9,6800000,Volkswagen,T-Cross,2019,Naranja,Nafta,5.0,Automática,1.6 MSI Nafta,SUV,35000,pesos
10,38500,Mercedes-Benz,Clase A,2017,Plateado,Nafta,5.0,Automática,3,Hatchback,55394,dólares
11,20500,Mercedes-Benz,Clase A,2013,Blanco,Nafta,5.0,Manual,1.6,Hatchback,162080,dólares
12,3500000,Renault,Sandero,2022,Plateado,Nafta,5.0,Manual,Desconocido,Sedán,111111,pesos
13,5990000,Volkswagen,Polo,2022,Blanco,Nafta,5.0,Manual,1.6,Hatchback,111111,pesos
14,41900,BMW,Serie 1,2020,Negro,Nafta,5.0,Automática,Desconocido,Hatchback,34800,dólares
15,2100000,Ford,Ecosport,2011,Beige,Nafta,4.0,Manual,1.6,SUV,101000,pesos
16,38500,Chevrolet,Trailblazer,2019,Gris,Diésel,5.0,Automática,Desconocido,SUV,73000,dólares
17,2940000,Toyota,Etios,2015,Blanco,Nafta,5.0,Manual,1.5,Hatchback,83000,pesos
18,2050000,Renault,Clio,2014,Gris,Nafta,5.0,Manual,1.2,Hatchback,99000,pesos
19,4120000,Toyota,RAV4,2011,Gris,Nafta,5.0,Automática,2.4,SUV,180000,pesos
20,4100000,Toyota,Etios,2018,Gris,Nafta,5.0,Manual,1.5,Sedán,80000,pesos
21,15000,Mini,Cooper,2013,Rojo,Nafta,5.0,Manual,1.6,Hatchback,105000,dólares
22,5099000,Jeep,Renegade,2018,Rojo,Nafta,5.0,Manual,1.8,SUV,78000,pesos
23,8300000,Toyota,Hilux,2017,Rojo,Diésel,4.0,Manual,2.8,Pick-Up,170000,pesos
24,2800000,Fiat,Bravo,2013,Negro,Nafta,5.0,Manual,Desconocido,Hatchback,124000,pesos
25,4500000,Ford,Ecosport,2019,Gris,Nafta,5.0,Manual,1.5,SUV,61000,pesos
